6;1
9;2
16;3
17;4
18;5
20;6
22;7
24;8
25;9
34;10
35;11
38;12
44;13
47;14
48;15
52;16
54;17
55;18
57;19
60;20
63;21
65;22
73;23
77;24
78;25
80;26
85;27
92;28
93;29
97;30
101;31
103;32
107;33
108;34
114;35
117;36
121;37
141;38
142;39
146;40
147;41
149;42
156;43
159;44
160;45
163;46
169;47
176;48
178;49
190;50
191;51
198;52
1917;53
202;54
205;55
211;56
213;57
218;58
239;59
241;60
242;61
247;62
248;63
253;64
254;65
257;66
262;67
271;68
272;69
285;70
286;71
287;72
288;73
327;74
328;75
331;76
332;77
337;78
338;79
340;80
342;81
347;82
350;83
355;84
356;85
358;86
367;87
369;88
371;89
373;90
375;91
376;92
381;93
382;94
383;95
385;96
409;97
410;98
411;99
413;100
2733;101
414;102
415;103
416;104
422;105
424;106
428;107
430;108
436;109
438;110
441;111
443;112
452;113
453;114
454;115
456;116
458;117
461;118
462;119
465;120
469;121
483;122
485;123
494;124
495;125
497;126
506;127
508;128
510;129
511;130
523;131
535;132
537;133
542;134
547;135
552;136
553;137
557;138
558;139
559;140
561;141
562;142
566;143
567;144
569;145
578;146
580;147
2647;148
581;149
583;150
584;151
590;152
591;153
592;154
597;155
607;156
619;157
620;158
623;159
634;160
638;161
640;162
650;163
667;164
674;165
678;166
680;167
681;168
685;169
687;170
692;171
693;172
698;173
701;174
702;175
703;176
705;177
708;178
710;179
712;180
714;181
720;182
722;183
724;184
730;185
733;186
737;187
772;188
982;189
778;190
785;191
791;192
799;193
802;194
820;195
832;196
841;197
842;198
846;199
847;200
858;201
859;202
863;203
866;204
886;205
893;206
898;207
899;208
901;209
902;210
903;211
905;212
906;213
908;214
912;215
914;216
916;217
920;218
921;219
928;220
929;221
930;222
931;223
941;224
946;225
948;226
951;227
952;228
959;229
960;230
967;231
968;232
971;233
972;234
976;235
1221;236
983;237
986;238
987;239
995;240
997;241
999;242
1004;243
1013;244
1014;245
1016;246
1024;247
1025;248
1027;249
1028;250
1029;251
1033;252
1037;253
1038;254
1040;255
1041;256
1043;257
1044;258
1051;259
1054;260
1059;261
1060;262
1066;263
1069;264
1070;265
1072;266
1075;267
1077;268
2651;269
12485;270
1078;271
1095;272
1111;273
1116;274
1123;275
1138;276
1139;277
1141;278
1142;279
1145;280
1146;281
1149;282
1150;283
1151;284
1155;285
1157;286
1158;287
1162;288
1167;289
1170;290
1180;291
1181;292
1182;293
1192;294
1193;295
1199;296
1213;297
1224;298
1228;299
1235;300
1236;301
1237;302
1241;303
1256;304
1259;305
1260;306
1265;307
1267;308
1268;309
1270;310
1281;311
1289;312
1290;313
1291;314
1292;315
1294;316
1297;317
1304;318
1308;319
1312;320
1320;321
1322;322
1325;323
1335;324
1337;325
1338;326
1339;327
1352;328
1359;329
1361;330
1376;331
1377;332
1387;333
1389;334
1391;335
1397;336
1402;337
1410;338
1417;339
1422;340
1426;341
1431;342
1440;343
1640;344
1642;345
1643;346
1644;347
1915;348
3135;349
1444;350
1446;351
1465;352
